"","condition","happy","depressed","fear","angry","calm","sounds","seeing","temperature","odors","depth","computations","thoughts","reasoning","remembering","beliefs","hungry","tired","pain","nauseated","safe","love","recognizing","communicating","guilt","disrespected","free_will","choices","self_restraint","intentions","goal","conscious","self_aware","desires","embarrassed","emo_recog","joy","morality","personality","pleasure","pride"
"359","robot",0,-2,-2,-1,1,3,2,3,1,3,3,-3,1,3,1,-3,-2,-2,-3,-1,0,3,3,-1,-1,-1,3,0,2,3,1,1,0,-2,1,-2,1,1,0,-1
"360","beetle",0,-1,0,-1,-2,-1,-1,-1,-1,-1,-1,1,0,0,-3,-1,-1,2,-2,-1,-2,-2,-1,-1,-2,-2,-1,0,-1,-1,-1,0,0,-1,-1,0,-2,0,-1,-1
"361","beetle",-1,-3,-3,0,2,2,1,0,0,2,-1,0,0,0,-3,3,2,1,-2,-3,-3,0,3,-3,-3,0,3,-1,3,3,0,0,1,-3,-2,-3,0,-2,0,-3
"362","robot",-3,-3,-3,-3,-3,3,3,3,2,3,3,-3,-3,2,0,-3,-3,-3,-3,-3,-3,1,3,-3,-3,-3,0,2,2,2,-2,-3,-3,-3,-3,-3,1,-2,-3,-3
"363","beetle",-3,-3,1,-3,-3,1,-3,0,0,-3,-3,-3,-3,1,-3,2,-3,-3,-3,2,-3,1,0,-3,-3,1,2,-3,0,-3,-3,-3,1,-3,-3,-3,-3,1,-3,-3
"364","robot",-3,-3,-3,-3,-3,3,1,1,1,-1,2,-2,-2,-1,-3,-3,-3,-3,-3,-3,-3,1,1,-3,-3,-3,-1,-3,-2,2,-2,-2,-3,-3,-2,-3,-2,-2,-3,-3
"365","beetle",-3,-3,0,-3,-3,-1,-1,0,0,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"366","beetle",1,-1,1,0,-1,0,1,1,-1,-1,-2,1,0,0,0,3,1,2,-2,2,-1,0,0,0,-2,-2,2,-1,1,0,3,1,1,-1,-1,0,-1,0,-1,1
"367","beetle",3,2,-2,1,-2,1,1,-1,-1,0,0,0,0,-2,-3,2,2,0,-1,1,2,-1,0,-2,-1,1,0,0,-2,0,0,-1,-2,-2,-2,3,-3,-2,3,-2
"368","robot",-3,-3,-3,-3,-3,3,3,3,3,3,3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,3,-3,-3,3,-3,-2,-3,-3,-3,-3,-1,-2,-3,-3
"369","robot",-3,-3,-3,-3,-3,3,-3,-3,-3,-3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"370","beetle",-3,-3,0,-1,-1,2,2,0,-1,0,-3,-1,-2,-2,-3,0,-2,1,-3,-3,-3,-3,0,-3,-3,-1,-1,-3,-1,-1,-2,-2,-2,-3,-3,-3,-3,-3,-2,-2
"371","robot",-3,-3,-3,-3,0,2,2,2,0,2,3,0,3,2,-2,-3,-3,-3,-3,-3,-3,2,2,-3,-3,-3,2,-2,-1,3,1,-2,-3,-3,-3,-3,1,-1,-3,-3
"372","beetle",2,-2,1,-2,-1,2,3,2,2,-1,0,2,-2,1,1,2,1,1,-2,1,1,2,2,-2,-2,1,-1,1,1,1,1,3,1,-2,-2,1,-2,-1,0,1
"373","beetle",-3,-3,0,-3,-1,-1,0,1,0,-2,-3,-1,-3,0,-3,3,3,3,-3,1,-3,0,0,-3,-3,-1,3,-1,3,1,1,-1,3,-3,-2,-3,-3,-3,3,-3
"374","beetle",2,0,2,1,1,2,3,2,2,2,-1,2,1,0,0,2,2,2,0,1,1,2,2,0,0,2,2,-1,1,1,2,1,1,0,-1,1,0,0,1,0
"375","robot",-2,-3,-3,-3,-3,2,2,1,-1,0,3,2,2,1,-3,-3,-3,-3,-3,-3,-3,1,3,-3,-3,0,2,-3,-2,0,-3,-2,-3,-3,-1,-3,0,0,-3,-2
"376","robot",-3,-3,-3,-3,-3,-3,3,3,-3,-3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"377","robot",-3,-3,-3,-3,-3,2,-1,2,2,2,3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,1,2,-3,-3,-3,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"378","beetle",-2,-3,-3,-3,-3,3,3,3,2,3,-3,-1,-3,0,-3,3,-2,0,-3,-3,-2,-2,0,-2,-3,-3,1,-1,3,3,-2,-3,-3,-3,-1,-2,-2,-3,0,-3
"379","beetle",-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"380","robot",-3,-3,-3,-3,-3,2,2,3,1,2,1,1,2,2,1,-3,-3,-3,-3,-3,-3,2,2,-3,-3,-3,2,2,-2,2,-1,1,-3,-3,1,-3,1,-3,-3,-3
"381","beetle",-3,-3,-3,-2,-3,2,3,3,1,0,-3,-2,-2,-3,-3,3,-3,3,-3,-3,-3,-3,1,-3,-3,-1,0,-3,-1,0,-1,-3,0,-3,-3,-3,-3,-3,-3,-3
"382","beetle",-1,-2,1,1,0,2,3,0,2,0,0,0,-1,-2,-2,3,-1,2,-1,-1,0,-2,-1,-1,-2,2,0,0,0,0,0,0,-1,-2,-1,-1,-2,0,0,-2
"383","beetle",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"384","robot",-1,-1,0,-1,2,3,1,2,-1,1,0,0,2,3,-2,-1,-2,-2,-2,0,-1,2,3,-1,-1,0,1,-1,1,1,-1,0,0,0,-1,0,-1,0,-1,0
"385","robot",-3,-3,-3,-3,-2,2,-3,2,-3,-3,3,1,2,3,2,-3,-3,-3,-3,-3,-3,3,1,-3,-3,-2,-1,-3,-1,-3,-2,-3,-3,-3,-1,-1,1,-1,-3,-3
"386","beetle",2,-1,-2,3,2,3,3,3,3,3,-3,3,-2,-1,-3,3,2,3,1,3,3,-1,1,-2,-3,3,2,0,2,2,3,-3,2,-3,-2,2,-2,-3,1,-2
"387","beetle",-3,-3,-3,-3,-3,-1,0,0,-1,0,-3,-2,-2,-2,-3,1,-3,-1,-3,-3,-3,-3,0,-3,-3,-3,0,-3,-2,-1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"388","beetle",-3,-3,-2,-3,-1,0,-3,0,1,-1,-3,-1,-3,-2,-3,0,-3,-3,-3,-2,-3,-3,0,-3,-3,-3,-2,-3,-3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-3
"389","robot",-3,-3,-3,-3,-3,3,3,3,1,0,3,-2,0,-1,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,2,-2,-3,3,-3,3,-3,-3,-3,-3,-1,-3,-3,-3
"390","robot",-3,-3,-3,-3,-1,3,3,3,-2,1,3,2,1,3,-3,-2,-3,-3,-3,-2,-3,3,3,-3,-2,0,3,0,1,2,-3,-2,-2,-3,3,-3,1,0,-3,-3
"391","robot",2,-1,1,0,1,2,3,2,2,2,3,1,1,2,0,-1,0,1,-2,1,1,2,2,0,-1,0,1,1,0,2,0,0,1,-1,1,0,2,1,1,0
"392","robot",-3,-3,-1,-3,-3,3,1,3,3,1,3,-3,1,2,-3,-3,0,-3,-3,2,-2,3,3,-2,-3,0,0,-3,0,0,-3,-3,-3,-3,-1,-2,3,-3,-3,-1
"393","beetle",-3,-3,-2,-3,-2,2,2,0,1,0,-2,-3,-2,-1,-3,3,-3,1,-3,1,-3,0,1,-3,-3,0,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"394","robot",-3,-3,-3,-3,0,3,2,3,0,2,3,-3,0,1,-3,-3,-3,-3,-3,-3,-3,2,1,-3,-2,-3,1,-3,-2,2,-3,1,-1,-3,-2,-2,1,-2,-3,-2
"395","beetle",0,-3,2,-3,-3,2,2,1,2,2,-3,0,-3,-1,-3,2,-1,2,-3,2,-3,-3,2,-3,-3,1,3,-3,1,2,-3,-1,-1,-3,-3,-1,-3,-3,1,-3
"396","beetle",0,-1,0,0,0,0,-1,0,1,-1,0,0,0,0,0,2,1,-2,-1,-1,1,0,1,0,-1,2,2,1,-2,0,0,0,2,0,0,1,-1,0,0,-1
"397","beetle",2,1,3,2,1,3,3,2,3,1,1,3,1,1,0,3,2,3,1,2,2,2,3,0,0,3,3,1,3,1,2,2,2,-1,0,2,0,0,2,0
"398","beetle",1,-2,-1,-1,-1,0,1,1,-1,-1,-2,0,1,-1,1,1,1,-1,0,2,-3,-2,-1,-2,-1,-1,0,-2,0,-2,-1,-1,0,-1,0,0,-2,0,1,-1
"399","robot",-3,-3,-3,-3,-3,3,3,3,3,3,3,-1,3,3,-3,-3,-3,3,-3,-3,-3,3,2,-2,-3,-3,3,-3,-3,-3,-3,-1,-2,-3,-3,-2,-3,1,-3,-3
"400","beetle",2,-1,-1,1,1,2,1,3,0,-1,-1,0,-1,-1,-1,3,-1,1,-1,0,1,-1,3,0,-1,-2,0,0,1,0,0,0,3,-2,-1,0,-2,-1,2,0
"401","beetle",-3,-3,-3,-3,-3,3,3,3,-3,-1,-3,-3,-3,-3,-3,3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
"402","robot",-3,-3,-3,-3,-3,1,2,1,3,3,3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,3,3,-3,-3,-3,1,0,-3,1,-3,-3,-3,-3,-1,-3,-3,-3,-3,-3
